Running.Test.Number,Test.Number.in.Iteration,Cost.Centric.Buffer,Cost.Centric.PDI,Conductance.Centric.Buffer,Conductance.Centric.PDI,DEM.error,Stochasticticity.error.for.time,Conductance.Value.Great.House,Conductance.Value.Great.Kiva,Conductance.Value.Earthen.Mound,Conductance.Value.Herradura
1,1,0.667978685,13909439.83,14.57852749,11641372.33,0.404543513,0.020078128,0.004159505,0.003327604,0.002662083,0.002129667
2,2,0.667978685,13909439.83,12.67364269,13772622.89,0.404543513,0.065101748,0.00221923,0.001775384,0.001420307,0.001136246
3,3,0.667978685,13909439.83,14.57852946,11426624.79,0.404543513,0.025751949,0.003377464,0.002701971,0.002161577,0.001729262
4,4,0.667653667,14380312.24,14.57143881,11334474.12,0.404543513,0.064003003,0.003746341,0.002997073,0.002397658,0.001918127
5,5,0.667653667,14380312.24,14.57143881,11334474.12,0.404543513,0.037695903,0.003788593,0.003030874,0.002424699,0.001939759
6,6,0.667653667,14380312.24,14.57143881,11334474.12,0.404543513,0.058918038,0.003915016,0.003132013,0.00250561,0.002004488
7,7,0.667653667,14380312.24,14.57143881,11334474.12,0.404543513,0.079907229,0.003620954,0.002896763,0.00231741,0.001853928
8,8,0.667653667,14380312.24,14.57143881,11334474.12,0.404543513,0.076111973,0.003846625,0.0030773,0.00246184,0.001969472
9,9,0.667653667,14380312.24,15.78439519,54344680.39,0.404543513,0.046715754,0.001769991,0.001415993,0.001132794,0.000906235
10,10,0.667653667,14380312.24,14.57143881,11334474.12,0.404543513,0.028852441,0.003807206,0.003045765,0.002436612,0.001949289
11,11,0.667653667,14380312.24,14.57143686,11547409.02,0.404543513,0.034365755,0.005003004,0.004002403,0.003201922,0.002561538
12,12,0.667653667,14380312.24,12.77652889,13689239.75,0.404543513,0.058969657,0.002634612,0.00210769,0.001686152,0.001348921
13,13,0.667653667,14380312.24,14.57143685,11549221.66,0.404543513,0.060953144,0.00422275,0.0033782,0.00270256,0.002162048
14,14,0.667653667,14380312.24,12.66747854,13680472.22,0.404543513,0.003180389,0.002126133,0.001700906,0.001360725,0.00108858
15,15,0.667653667,14380312.24,10.09161974,58348494.37,0.404543513,0.061775563,0.001395832,0.001116666,0.000893333,0.000714666
16,16,0.667653667,14380312.24,12.66747854,13680472.22,0.404543513,0.039834479,0.002070509,0.001656408,0.001325126,0.001060101
17,17,0.667653667,14380312.24,14.56909571,11353564.34,0.404543513,0.016529178,0.002719606,0.002175685,0.001740548,0.001392438
18,18,0.667653667,14380312.24,14.56909374,11568569.8,0.404543513,0.025864427,0.003975627,0.003180502,0.002544401,0.002035521
19,19,0.667653667,14380312.24,14.56909372,11570115.31,0.404543513,0.019915845,0.004662043,0.003729635,0.002983708,0.002386966
20,20,0.667653664,14383918.13,14.56675696,11345313.45,0.404543513,0.059795992,0.003086346,0.002469077,0.001975262,0.001580209
21,21,0.667653664,14383918.13,15.23966391,6134779.663,0.404543513,0.014921663,0.002475177,0.001980142,0.001584113,0.001267291
22,22,0.667653664,14383918.13,13.38144447,54729406.18,0.404543513,0.054359749,0.001560711,0.001248569,0.000998855,0.000799084
23,23,0.667653664,14383918.13,17.03400927,3780014.027,0.404543513,0.005464703,0.002797358,0.002237887,0.001790309,0.001432247
24,24,0.667653664,14383918.13,17.03400927,3780014.027,0.404543513,0.006722718,0.003058223,0.002446579,0.001957263,0.00156581
25,25,0.667653664,14383918.13,15.23966391,6134779.663,0.404543513,0.028429223,0.002628129,0.002102503,0.001682003,0.001345602
26,1,1.427328009,11899482.42,5.052801657,47637213.51,0.406669249,0.053271089,0.002027787,0.00162223,0.001297784,0.001038227
27,2,1.427328009,11899482.42,10.74917583,5518140.676,0.406669249,0.034926108,0.004050051,0.003240041,0.002592033,0.002073626
28,3,1.427328009,11899482.42,5.052801655,47636439.17,0.406669249,0.002349877,0.001653461,0.001322769,0.001058215,0.000846572
29,4,1.427328009,11899482.42,10.74917659,5405801.263,0.406669249,0.088119042,0.002926974,0.002341579,0.001873263,0.001498611
30,5,1.427328009,11899482.42,10.74917583,5518140.676,0.406669249,0.070212436,0.003705447,0.002964358,0.002371486,0.001897189
31,6,1.427328009,11899482.42,10.74917659,5405801.263,0.406669249,0.010433589,0.002971407,0.002377125,0.0019017,0.00152136
32,7,1.427328009,11899482.42,10.74917583,5518140.676,0.406669249,0.016897045,0.003547656,0.002838125,0.0022705,0.0018164
33,8,1.426002802,11888335.18,10.73919771,5453361.1,0.406669249,0.045570754,0.003444854,0.002755884,0.002204707,0.001763765
34,9,1.423166178,11758561.2,11.23054845,5332561.167,0.406669249,0.032199034,0.003165185,0.002532148,0.002025719,0.001620575
35,10,1.423166178,11758561.2,11.23054826,5359167.634,0.406669249,0.042010288,0.002229901,0.001783921,0.001427137,0.00114171
36,11,1.423166178,11758561.2,11.23054828,5356326.405,0.406669249,0.0119108,0.0024746,0.00197968,0.001583744,0.001266995
37,12,1.423166178,11758561.2,11.23054803,5391951.574,0.406669249,0.052156085,0.004119192,0.003295353,0.002636283,0.002109026
38,13,1.422253177,12637974.21,13.51122908,5925271.263,0.406669249,0.073405228,0.003794364,0.003035491,0.002428393,0.001942714
39,14,1.422253177,12637974.21,16.02282757,7473767.193,0.406669249,0.058851601,0.004687177,0.003749741,0.002999793,0.002399834
